iter	Passed	Remaining
0	156	1561099
1	163	815200
2	169	563231
3	175	439060
4	182	363974
5	188	314255
6	195	278385
7	201	252211
8	208	231850
9	215	214989
10	221	201165
11	228	190220
12	235	180699
13	242	173124
14	249	166008
15	256	159976
16	263	154526
17	269	149318
18	275	144962
19	282	140845
20	289	137484
21	296	134311
22	302	131202
23	309	128535
24	315	125950
25	322	123604
26	328	121338
27	334	119285
28	341	117437
29	348	115755
30	355	114333
31	362	113051
32	371	112087
33	378	111035
34	386	110130
35	411	113876
36	419	112872
37	427	111950
38	434	111056
39	456	113669
40	463	112509
41	470	111487
42	476	110401
43	483	109420
44	490	108578
45	498	107788
46	505	107101
47	513	106381
48	520	105656
49	526	104857
50	534	104365
51	541	103680
52	550	103226
53	558	102788
54	566	102372
55	573	101892
56	581	101487
57	589	101067
58	598	100789
59	606	100442
60	614	100041
61	622	99708
62	630	99397
63	637	98980
64	645	98587
65	651	98130
66	658	97661
67	666	97362
68	673	96921
69	680	96583
70	687	96162
71	694	95810
72	701	95370
73	708	94993
74	715	94640
75	721	94241
76	729	94041
77	736	93626
78	742	93305
79	749	92973
80	756	92697
81	764	92439
82	771	92213
83	778	91949
84	786	91696
85	794	91588
86	801	91315
87	809	91231
88	817	91025
89	825	90906
90	832	90700
91	840	90565
92	847	90326
93	855	90144
94	862	89969
95	871	89864
96	879	89764
97	886	89596
98	894	89411
99	901	89231
100	908	89049
101	915	88817
102	923	88721
103	930	88536
104	938	88485
105	946	88353
106	954	88284
107	963	88282
108	972	88233
109	983	88440
110	992	88380
111	1001	88430
112	1010	88380
113	1020	88459
114	1028	88404
115	1038	88449
116	1045	88340
117	1054	88270
118	1061	88127
119	1069	88093
120	1077	87986
121	1086	87974
122	1094	87873
123	1102	87793
124	1109	87640
125	1117	87603
126	1125	87488
127	1133	87397
128	1139	87207
129	1147	87099
130	1156	87107
131	1164	87084
132	1173	87054
133	1182	87056
134	1190	86981
135	1198	86924
136	1205	86819
137	1214	86798
138	1222	86713
139	1230	86656
140	1237	86532
141	1245	86446
142	1252	86319
143	1259	86204
144	1267	86112
145	1273	85949
146	1281	85882
147	1288	85749
148	1295	85651
149	1302	85531
150	1310	85467
151	1318	85422
152	1325	85290
153	1332	85204
154	1340	85125
155	1347	85044
156	1354	84930
157	1362	84900
158	1369	84792
159	1378	84752
160	1385	84661
161	1392	84592
162	1400	84499
163	1408	84475
164	1415	84377
165	1423	84321
166	1431	84290
167	1439	84224
168	1446	84149
169	1453	84029
170	1460	83951
171	1467	83859
172	1482	84192
173	1489	84128
174	1498	84105
175	1505	84051
176	1513	83972
177	1520	83905
178	1528	83838
179	1535	83792
180	1542	83701
181	1549	83567
182	1556	83523
183	1563	83433
184	1572	83405
185	1578	83302
186	1586	83230
187	1593	83158
188	1600	83097
189	1607	83009
190	1615	82944
191	1623	82918
192	1630	82846
193	1638	82809
194	1645	82724
195	1652	82675
196	1659	82597
197	1667	82527
198	1673	82445
199	1681	82397
200	1688	82335
201	1696	82266
202	1703	82220
203	1710	82131
204	1718	82090
205	1725	82028
206	1732	81960
207	1740	81945
208	1748	81892
209	1755	81836
210	1762	81762
211	1769	81710
212	1776	81644
213	1784	81587
214	1790	81504
215	1799	81492
216	1806	81446
217	1814	81420
218	1821	81336
219	1828	81282
220	1835	81230
221	1843	81189
222	1850	81127
223	1857	81054
224	1864	81000
225	1871	80945
226	1878	80894
227	1886	80837
228	1894	80816
229	1902	80801
230	1909	80767
231	1917	80753
232	1925	80711
233	1932	80666
234	1939	80610
235	1947	80589
236	1954	80526
237	1963	80518
238	1969	80450
239	1978	80465
240	1985	80415
241	1996	80486
242	2004	80465
243	2012	80467
244	2018	80383
245	2027	80388
246	2035	80355
247	2043	80338
248	2051	80327
249	2059	80315
250	2066	80248
251	2073	80204
252	2079	80133
253	2088	80126
254	2095	80081
255	2103	80059
256	2112	80074
257	2119	80028
258	2127	80017
259	2134	79976
260	2142	79955
261	2150	79933
262	2158	79907
263	2166	79893
264	2173	79842
265	2180	79787
266	2188	79778
267	2195	79714
268	2202	79675
269	2208	79604
270	2215	79544
271	2223	79526
272	2229	79449
273	2237	79419
274	2244	79370
275	2251	79316
276	2257	79246
277	2264	79197
278	2271	79140
279	2278	79091
280	2286	79066
